 Read input data
 ...done
  
-------     1--------k=  0.01000000
 time elapsed:   2.1632999999999999E-002
  
-------     2--------k=  0.03203704
 time elapsed:   2.4506000000000000E-002
  
-------     3--------k=  0.05407407
 time elapsed:   2.2180999999999992E-002
  
-------     4--------k=  0.07611111
 time elapsed:   1.0478999999999988E-002
  
-------     5--------k=  0.09814815
 time elapsed:   2.9370999999999994E-002
  
-------     6--------k=  0.12018519
 time elapsed:   3.2542999999999989E-002
  
-------     7--------k=  0.14222222
 time elapsed:   3.4434999999999993E-002
  
-------     8--------k=  0.16425926
 time elapsed:   3.6225000000000007E-002
  
-------     9--------k=  0.18629630
 time elapsed:   4.5897000000000021E-002
  
-------    10--------k=  0.20833333
 time elapsed:   5.7908999999999988E-002
  
-------    11--------k=  0.23037037
 time elapsed:   6.2078999999999995E-002
  
-------    12--------k=  0.25240741
 time elapsed:   6.5602999999999967E-002
  
-------    13--------k=  0.27444444
 time elapsed:   7.5981999999999938E-002
  
-------    14--------k=  0.29648148
 time elapsed:  0.11904599999999999     
  
-------    15--------k=  0.31851852
 time elapsed:  0.11594099999999996     
  
-------    16--------k=  0.34055556
 time elapsed:  0.11263499999999993     
  
-------    17--------k=  0.36259259
 time elapsed:  0.11252799999999996     
  
-------    18--------k=  0.38462963
 time elapsed:  0.19961700000000004     
  
-------    19--------k=  0.40666667
 time elapsed:  0.19712600000000013     
  
-------    20--------k=  0.42870370
 time elapsed:  0.25821699999999992     
  
-------    21--------k=  0.45074074
 time elapsed:  0.28333099999999978     
  
-------    22--------k=  0.47277778
 time elapsed:  0.30736300000000005     
  
-------    23--------k=  0.49481481
 time elapsed:  0.32087600000000016     
  
-------    24--------k=  0.51685185
 time elapsed:  0.30928199999999961     
  
-------    25--------k=  0.53888889
 time elapsed:  0.29710800000000015     
  
-------    26--------k=  0.56092593
 time elapsed:  0.29185499999999998     
  
-------    27--------k=  0.58296296
 time elapsed:  0.31846799999999975     
  
-------    28--------k=  0.60500000
 time elapsed:  0.30814399999999953     
  
-------    29--------k=  0.62703704
 time elapsed:  0.30058499999999988     
  
-------    30--------k=  0.64907407
 time elapsed:  0.29424499999999920     
  
-------    31--------k=  0.67111111
 time elapsed:  0.28577499999999922     
  
-------    32--------k=  0.69314815
 time elapsed:  0.28190999999999988     
  
-------    33--------k=  0.71518519
 time elapsed:  0.27667700000000028     
  
-------    34--------k=  0.73722222
 time elapsed:  0.26907199999999953     
  
-------    35--------k=  0.75925926
 time elapsed:  0.30553100000000022     
  
-------    36--------k=  0.78129630
 time elapsed:  0.33061399999999974     
  
-------    37--------k=  0.80333333
 time elapsed:  0.29345800000000022     
  
-------    38--------k=  0.82537037
 time elapsed:  0.25564399999999932     
  
-------    39--------k=  0.84740741
 time elapsed:  0.45224300000000017     
  
-------    40--------k=  0.86944444
 time elapsed:  0.41705599999999965     
  
-------    41--------k=  0.89148148
 time elapsed:  0.40622099999999950     
  
-------    42--------k=  0.91351852
 time elapsed:  0.41712200000000088     
  
-------    43--------k=  0.93555556
 time elapsed:  0.44459899999999841     
  
-------    44--------k=  0.95759259
 time elapsed:  0.43502900000000011     
  
-------    45--------k=  0.97962963
 time elapsed:  0.39180799999999927     
  
-------    46--------k=  1.00166667
 time elapsed:  0.27506999999999948     
  
-------    47--------k=  1.02370370
 time elapsed:  0.27043399999999984     
  
-------    48--------k=  1.04574074
 time elapsed:  0.26578300000000077     
  
-------    49--------k=  1.06777778
 time elapsed:  0.40090400000000059     
  
-------    50--------k=  1.08981481
 time elapsed:  0.39695299999999989     
  
-------    51--------k=  1.11185185
 time elapsed:  0.32422200000000068     
  
-------    52--------k=  1.13388889
 time elapsed:  0.29431100000000043     
  
-------    53--------k=  1.15592593
 time elapsed:  0.30101800000000090     
  
-------    54--------k=  1.17796296
 time elapsed:  0.30313400000000001     

Total time elapsed(s): 12.762536000000001
